Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
"Гравел велосипед Crosser Nord  28""",9 000 грн.,Новый,2021-04-28,Одесса,Киевский,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/obyavlenie/gravel-velosiped-crosser-nord-28-IDLtCMo.html
"Велосипед циклокросс гравийник, gravel, cx, merida",16 000 грн.,Б/у,2022-02-03,Луганск,Жовтневый,"48.574, 39.308",Кирилл,,https://www.olx.ua/d/obyavlenie/velosiped-tsiklokross-graviynik-gravel-cx-merida-IDO4aj6.html
"Gravel Giant Toughtroad гревел, туринг",19 500 грн.,Б/у,2022-05-29,Сумы,,"50.9074, 34.80236",Роман,,https://www.olx.ua/d/obyavlenie/gravel-giant-toughtroad-grevel-turing-IDOJVEH.html
"Велосипед dolan multi-x кроссовый , гравел , ендюренс",1 100 грн.,Новый,2022-04-28,Черкассы,,"49.4141, 32.06042",Ростислав,,https://www.olx.ua/d/obyavlenie/velosiped-dolan-multi-x-krossovyy-gravel-endyurens-IDOwc3b.html
"Продам Gravel Skyland (mtb drop-bar, гревел, гравийник)",5 500 грн.,Б/у,2021-05-24,Черкассы,,"49.4141, 32.06042",Андрей,,https://www.olx.ua/d/obyavlenie/prodam-gravel-skyland-mtb-drop-bar-grevel-graviynik-IDLIgGN.html
Koga-Miyata 28 XL 61 touring cro-mo cr-mo хромоль  туринг сити гравел,5 800 грн.,Б/у,2022-05-23,Ладыжин,,"48.68381, 29.24763",Андрей,,https://www.olx.ua/d/obyavlenie/koga-miyata-28-xl-61-touring-cro-mo-cr-mo-hromol-turing-siti-gravel-IDOGCBD.html
Фреймсет Guerciotti Gieten Cross для велокросса\Gravel Рама XS,7 383 грн.,Б/у,2022-02-18,Николаев,Центральный,"47.015, 31.952",Roman Kotsa,,https://www.olx.ua/d/obyavlenie/freymset-guerciotti-gieten-cross-dlya-velokrossa-gravel-rama-xs-IDOcUig.html
"РОЗНИЦА опт дропшиппинг алюміній гревел Crosser Gravel NORD 28"" Trek",8 249 грн.,Новый,2021-06-01,Киев,Голосеевский,"50.35684, 30.51985",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/roznitsa-opt-dropshipping-alyumny-grevel-crosser-gravel-nord-28-trek-IDLNtsQ.html
Шоссейный велосипед Старт Шоссе,8 500 грн.,Б/у,2020-08-07,Козельщина,,"49.21, 33.85",Алексей,,https://www.olx.ua/d/obyavlenie/shosseynyy-velosiped-start-shosse-IDIQMk1.html
"Велосипед алюминий гревел  Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Новый,2021-05-31,Одесса,Киевский,"46.38471, 30.70913",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDLMQQw.html
